地區,經驗要求(年),最低學歷,科系要求,員工人數,起薪,應徵數
高雄,8,3,1,45,32000,30
台北,0,1,0,350,35720,11
高雄,0,0,0,0,30000,11
台北,2,2,1,150,32000,30
台北,0,0,0,500,38000,0
高雄,1,1,1,0,27000,30
台北,0,0,0,15,50000,11
台北,0,2,0,15,25000,11
台北,0,2,0,20,24000,0
台北,0,0,0,0,40000,30
台北,0,1,0,0,30000,11
台北,0,2,0,110,24000,11
台北,3,3,0,300,34000,30
台北,0,0,0,0,25000,11
台北,0,3,0,70,26000,0
台北,1,2,0,220,26000,0
台北,1,2,0,182,27000,30
台北,0,4,1,250,45000,30
台北,0,1,0,0,30000,6
台北,0,1,0,500,38500,0
高雄,2,3,1,15,30000,6
台北,3,2,0,35,35000,11
高雄,2,2,0,50,26000,30
高雄,0,0,0,60,30000,6
台北,2,3,0,20,38000,30
台北,0,1,0,0,32000,0
台北,2,3,1,0,32000,6
高雄,0,0,0,300,35000,30
高雄,0,3,0,250,35000,11
台北,1,2,0,40,24000,11
台北,0,3,0,7,35000,11
台北,0,3,1,4900,30000,30
台北,5,3,1,200,40000,30
台北,0,1,0,300,33000,11
台北,1,1,0,820,30000,30
台北,1,1,0,450,28000,30
台北,1,1,0,0,28000,30
高雄,0,1,0,50,25000,11
台北,0,0,0,0,26000,11
高雄,0,2,0,0,26000,30
台北,0,2,0,10,28000,30
台北,0,3,0,0,32000,30
台北,2,2,1,10,32000,11
台北,3,2,0,0,28000,11
台北,0,1,1,600,28000,11
台北,0,0,0,200,30000,30
台北,5,2,0,30,40000,6
台北,1,3,0,15,35000,30
台北,3,2,1,300,43000,6
台北,1,2,0,35,30000,11
台北,3,2,0,10,35000,30
台北,0,2,0,110,30000,6
高雄,0,1,0,160,24000,30
台北,0,0,0,3,28800,11
高雄,0,0,0,30,24000,11
台北,0,0,0,0,26500,11
台北,1,4,1,15,35000,30
